대분류,중분류,법인명,브랜드명,brno,crno
외식,커피/음료,(주)이디야,이디야,1078616302,1.10E+12
외식,커피/음료,(주)이디야,이디야커피,1078616302,1.10E+12
도소매,전자상거래,쿠팡,쿠팡,1208800767,1.10E+12
도소매,전자상거래,11번가,11번가,,
도소매,전자상거래,십일번가,십일번가,,
도소매,(건강)식품,(주)그린브라우니,10미닛,3148656111,1.60E+12
도소매,(건강)식품,(주)그린브라우니,10minutes,3148656111,1.60E+12
도소매,(건강)식품,(주)금표에프앤씨,은하철도 곱곱곱,7208601621,1.41E+12
도소매,(건강)식품,(주)농협홍삼,한삼인,2158518792,1.54E+12
도소매,(건강)식품,(주)도시곳간,도시곳간,3288801680,1.10E+12
도소매,(건강)식품,(주)백세라이프,백세라이프,8448102445,1.20E+12
도소매,(건강)식품,(주)세모,시즌글라스,1378106625,1.20E+12
도소매,(건강)식품,(주)세모,SEASONGLASS,1378106625,1.20E+12
도소매,(건강)식품,(주)수라곳간,수라곳간,1708102489,1.10E+12
도소매,(건강)식품,(주)스마트키오스크,프레시스토어,5928601332,1.31E+12
도소매,(건강)식품,(주)옵티마케어,라이핏,2138637470,1.10E+12
도소매,(건강)식품,(주)진가네,진성엽의 진가네반찬,6118700645,1.70E+12
도소매,(건강)식품,(주)한국인삼공사,정관장,3148123992,1.60E+12
도소매,(건강)식품,간식여왕,간식여왕,4874600068,
도소매,(건강)식품,농업회사법인(주)한국흑홍삼,백세인,,
도소매,(건강)식품,면역력119안심동국당,면역력119안심동국당,,
도소매,(건강)식품,바이피플,반찬바이피플,1872801178,
도소매,(건강)식품,비에스피푸드(BSPFood),압구정건강원,6594100561,
도소매,(건강)식품,세지컴퍼니,얌키트,8570301653,
도소매,(건강)식품,작은창큰풍경협동조합,건강을 드리다,3188108858,1.65E+12
도소매,(건강)식품,커피운,커피운,1381031054,
도소매,(건강)식품,큰손 이말랑 간장게장,큰손 이말랑 간장게장,8596700462,
도소매,(건강)식품,풋팅(주),전국적으로다가 futting,1488101523,1.36E+12
도소매,(건강)식품,해콩,해콩,6059610849,
도소매,(건강)식품,허브앤씨드(Herbs&Seeds),허브앤씨드,6532300424,
도소매,(건강)식품,허브앤씨드(Herbs&Seeds),Herbs&Seeds,6532300424,
도소매,기타도소매,(유)더프렌즈,열개의우물,7648102284,1.35E+12
도소매,기타도소매,(유)클리어창,클리어창,3268601579,2.15E+12
도소매,기타도소매,(유)한센,라폼슈,,
도소매,기타도소매,(주)AL네트웍스,펫월드,,
도소매,기타도소매,(주)가위이야기,가위이야기,3988601797,2.80E+12
도소매,기타도소매,(주)감동식혜,감동식혜,6838802456,2.84E+12
도소매,기타도소매,(주)고창부안한우작목회,아이엠미트,4188602218,2.15E+12
도소매,기타도소매,(주)고창부안한우작목회,I AM MEAT,4188602218,2.15E+12
도소매,기타도소매,(주)골프파트너코리아,골프파트너,2148895744,1.10E+12
도소매,기타도소매,(주)국제표준금거래소,국제표준금거래소,3578102204,1.80E+12
도소매,기타도소매,(주)굿샵,굿샵,,
도소매,기타도소매,(주)굿샵,Good Shop,,
도소매,기타도소매,(주)굿투비위드유,간편한식탁,7888101210,2.85E+12
도소매,기타도소매,(주)김승용에프에스,오늘의고기 미트스토리,7328601338,1.36E+12
도소매,기타도소매,(주)농업법인쿱스토어,자연드림,3108118712,1.61E+12
도소매,기타도소매,(주)다비농업회사법인,다비프레시,6278700688,2.84E+12
도소매,기타도소매,(주)다비농업회사법인,DAVI FRESH,6278700688,2.84E+12
도소매,기타도소매,(주)달리는사람들,달리,3308701556,1.10E+12
도소매,기타도소매,(주)달시,DALSI,4668102018,1.65E+12
도소매,기타도소매,(주)달시,달시,4668102018,1.65E+12
도소매,기타도소매,(주)더밀스,레드아이,8848601129,1.35E+12
도소매,기타도소매,(주)더셀렉티브,반조애,1608801070,1.10E+12
도소매,기타도소매,(주)더셀렉티브,VANZOE,1608801070,1.10E+12
도소매,기타도소매,(주)더잘잘,잘잘레시피,1778700733,1.10E+12
도소매,기타도소매,(주)더캠트,캠핑트렁크,6948100861,1.50E+12
도소매,기타도소매,(주)더케이트레이드,럭셔리바이,,
도소매,기타도소매,(주)데일리마켓,데일리와인,2178800421,1.34E+12
도소매,기타도소매,(주)델리퀸,델리퀸,4098609236,2.06E+12
도소매,기타도소매,(주)도들샘,오레시피,5158135048,1.75E+12
도소매,기타도소매,(주)도토리,포도,5358101940,1.80E+12
도소매,기타도소매,(주)동아피엠에스,문방구역,3098601292,1.10E+12
도소매,기타도소매,(주)드림디포,드림디포,2148677209,1.10E+12
도소매,기타도소매,(주)드림오피스,드림오피스,2208163286,1.10E+12
도소매,기타도소매,(주)딕시,그냥가개？,1668800986,1.10E+12
도소매,기타도소매,(주)떡파는사람들,떡보의하루,5038170718,1.70E+12
도소매,기타도소매,(주)라치나타코리아,라치나타,6488800533,1.10E+12
도소매,기타도소매,(주)렌즈베리,렌즈베리,7368601586,1.10E+12
도소매,기타도소매,(주)렙쇼메이,밥;끼,2018194022,1.10E+12
도소매,기타도소매,(주)로얄그린,콰드로에이치,5108601683,1.10E+12
도소매,기타도소매,(주)록원에프엔비,리얼안심탕수육,4868100877,1.10E+12
도소매,기타도소매,(주)르하임나디브,나디브,2528702615,1.21E+12
도소매,기타도소매,(주)리본굿즈,그리니,1888601680,1.35E+12
도소매,기타도소매,(주)리본굿즈,Green-E,1888601680,1.35E+12
도소매,기타도소매,(주)리퍼몬스터,리퍼몬스터,,
도소매,기타도소매,(주)링코제일,링코,1208179358,1.10E+12
도소매,기타도소매,(주)마켓브이,마켓브이,2268154349,1.80E+12
도소매,기타도소매,(주)맛샘,맛샘,2468700534,1.10E+12
도소매,기타도소매,(주)모나미,모나미스테이션,1208108227,1.10E+12
도소매,기타도소매,(주)모닝글로리,모닝글로리,1058163968,1.10E+12
도소매,기타도소매,(주)문구야놀자,문구야놀자,1398601922,1.10E+12
도소매,기타도소매,(주)미미쉐프,미미쉐프,8708802045,1.50E+12
도소매,기타도소매,(주)미스터아빠,미스터아빠,4488701712,1.94E+12
도소매,기타도소매,(주)미쿡미트마켓,미쿡미트마켓,7298102414,1.10E+12
도소매,기타도소매,(주)밀겨울,밀겨울,3078801612,1.10E+12
도소매,기타도소매,(주)밀레펫,밀레쥬,1348198669,1.36E+12
도소매,기타도소매,(주)밀레펫,Mille Zoo,1348198669,1.36E+12
도소매,기타도소매,(주)바모스컴퍼니,와인공판장,,
도소매,기타도소매,(주)박승철위그랩,박승철위그스투디오,3978700720,1.10E+12
도소매,기타도소매,(주)보광유니온,현미박사누룽지,3608600115,1.36E+12
도소매,기타도소매,(주)보화스위스,스위스,1248741633,1.36E+12
도소매,기타도소매,(주)비오리테일,보루,4208601357,1.20E+12
도소매,기타도소매,(주)비오리테일,BOROO,4208601357,1.20E+12
도소매,기타도소매,(주)샐러팜,샐키트,,
도소매,기타도소매,(주)샐러팜,SALKIT,,
도소매,기타도소매,(주)선진펫,펫마트,5028616211,1.70E+12
도소매,기타도소매,(주)성화컴퍼니,폰사닷컴,4888701549,1.70E+12
도소매,기타도소매,(주)세라젬,클럽밸런스5,1398137459,1.20E+12
도소매,기타도소매,(주)세라젬,CLUBBALANCE5,1398137459,1.20E+12
도소매,기타도소매,(주)수재,수재샵,4038600178,1.35E+12
도소매,기타도소매,(주)수코팩토리,"VGM,매우좋은아침",8118100199,1.10E+12
도소매,기타도소매,(주)슈올즈,슈올즈,2148869872,1.10E+12
도소매,기타도소매,(주)슈퍼메이커즈,슈퍼키친도시락,4858800607,1.10E+12
도소매,기타도소매,(주)슈퍼플레이,슈퍼플레이,8938700854,1.10E+12
도소매,기타도소매,(주)슈퍼플레이,SUPER PLAY,8938700854,1.10E+12
도소매,기타도소매,(주)스노우폭스브랜딩컴퍼니,스노우폭스플라워,6468100519,1.10E+12
도소매,기타도소매,(주)스타보틀,스타보틀,8198702102,1.10E+12
도소매,기타도소매,(주)스타보틀,STAR BOTTLE,8198702102,1.10E+12
도소매,기타도소매,(주)신토이,신토이,8068702052,1.35E+12
도소매,기타도소매,(주)씨아이테크,든든한家,2108101231,1.10E+12
도소매,기타도소매,(주)아로마글로바,YANKEE CANDLE,2208199275,1.10E+12
도소매,기타도소매,(주)아로마글로바,양키캔들,2208199275,1.10E+12
도소매,기타도소매,(주)아빠컴퍼니,요리버리아,,
도소매,기타도소매,(주)아성다이소,다이소,2138152063,1.10E+12
도소매,기타도소매,(주)아이꿈터,아이꿈터,2048605090,1.10E+12
도소매,기타도소매,(주)아이센스티앤씨,밀킷슐랭,5568601317,1.10E+12
도소매,기타도소매,(주)아이스24,잇쏘프레쉬,,
도소매,기타도소매,(주)아이스24,eat so fresh,,
도소매,기타도소매,(주)아이스타,까까주까,3588801134,2.84E+12
도소매,기타도소매,(주)아이씨에스,요리비책 엄마의 비밀 레시피,2738601969,1.62E+12
도소매,기타도소매,(주)아이오스,오밀당,2668102572,2.80E+12
도소매,기타도소매,(주)아츠아크,아츠아크,3218702037,1.10E+12
도소매,기타도소매,(주)아츠아크,art’s ARK,3218702037,1.10E+12
도소매,기타도소매,(주)아토즈플랜,아토즈캠핑,2108601105,1.10E+12
도소매,기타도소매,(주)아트박스,아트박스,2148106825,1.10E+12
도소매,기타도소매,(주)아트박스,ARTBOX,2148106825,1.10E+12
도소매,기타도소매,(주)어메이징리테일,메리엘스,8848701897,1.10E+12
도소매,기타도소매,(주)어메이징리테일,Mary Eales,8848701897,1.10E+12
도소매,기타도소매,(주)에버,에버마켓25,,
도소매,기타도소매,(주)에이오픈,컴앤키플러스,6238601960,1.24E+12
도소매,기타도소매,(주)에코푸드시스템,에코푸드시스템,7318101174,1.31E+12
도소매,기타도소매,(주)엔오엔에프컨설팅,이름없는 과일가게,7408102444,1.10E+12
도소매,기타도소매,(주)엔터씨앤디,보물성24,6418800304,1.10E+12
도소매,기타도소매,(주)엠디에스코리아,쉐프엠,1308152166,1.21E+12
도소매,기타도소매,(주)엠케이,MK,3388800960,1.60E+12
도소매,기타도소매,(주)엠케이스페스,미니스피어싱,1078714709,1.10E+12
도소매,기타도소매,(주)엠케이푸드,미트킹,,
도소매,기타도소매,(주)엠포피,SKINBAND,7678100096,1.10E+12
도소매,기타도소매,(주)엠포피,스킨밴드,7678100096,1.10E+12
도소매,기타도소매,(주)예스프랜차이즈,몽코이,6468601911,1.70E+12
도소매,기타도소매,(주)오늘의꽃,오화원,3808101597,1.20E+12
도소매,기타도소매,(주)오버랜딩코리아,파이브스톤즈,,
도소매,기타도소매,(주)오피스넥스,문구야 사랑해,1148662046,1.10E+12
도소매,기타도소매,(주)오피스디포코리아,오피스웨이,1208185049,1.10E+12
도소매,기타도소매,(주)오피스큐,오피스큐,1068647364,1.10E+12
도소매,기타도소매,(주)오피스큐,OFFICEQ,1068647364,1.10E+12
도소매,기타도소매,(주)올가홀푸드,내추럴하우스바이올가,1148180641,1.10E+12
도소매,기타도소매,(주)와인브라더스,와인브라더스,,
도소매,기타도소매,(주)요기독강아지랑고양이랑강남본점,요기독,5448101828,1.10E+12
도소매,기타도소매,(주)원데이즈웰,아니벌써,7798800948,1.10E+12
도소매,기타도소매,(주)월드와이드메모리,월드메모리,,
도소매,기타도소매,(주)웰컴푸드,어서오시게,2708601790,1.36E+12
